References	Qty	Digikey	Manufacturer	Mouser	RS	mpn
C1, C2, C3, C4, C5, C6	6	478-5309-1-ND	AVX	581-06035C104K4	698-3251	06035C104K4T2A
D1	1	475-3467-1-ND	OSRAM	720-LYQ396P1Q236	778-1434	LY Q396
P1	1	WM7622CT-ND	Molex	538-53261-0471	542-7113	53261-0471
P2	1	WM7622CT-ND	Molex	538-53261-0471	542-7113	53261-0471
P3	1	WM7622CT-ND	Molex	538-53261-0471	542-7113	53261-0471
P4	1	WM7621CT-ND	Molex	538-53261-0371	542-7107	53261-0371
R1	1	541-120HCT-ND	Vishay	71-CRCW0603-120-E3	678-9718	CRCW0603120RFKEA
R2, R3	2	541-4013-1-ND	Vishay	71-CRCW06030000Z0EB	678-9670	CRCW06030000Z0EB
U1	1	428-1593-ND	Cypress	727-CY8C27143-24PXI	125-4170	CY8C27143-24PXI
U2	1	ADM3101EARQZ-REELCT-ND	Analog Devices	584-ADM3101EARQZ	709-7966	ADM3101EARQZ
